1240,"Edward Street footbridge, Kilsyth","Bridge/Elevated Structure","Phoned family saying she was high above water, found sitting wrong side of bridge barriers, fell 20-25 feet","Impulsive/Crisis Location"
24709,"312 Greengairs Road","Residential Area","Frequently attended a local religious site","Isolation Seeking"
24709,"312 Greengairs Road","Residential Area","Stopped by a nearby roadhouse","Event Attendance"
39108,"312 Greengairs Road","Residential Area","Left home in the late afternoon","Departure"
39108,"312 Greengairs Road","Residential Area","Planning to attend an acoustic concert at a local venue","Event Attendance"
39108,"312 Greengairs Road","Residential Area","Initially spotted by her sister at the roadhouse near Leckerstone Farm","Event Attendance"
39108,"312 Greengairs Road","Residential Area","Search efforts extended to a warehouse district near the venue","Disorientation"
39108,"312 Greengairs Road","Residential Area","Found safe at a relative's home","Isolation Seeking"
100679,"Warehouse","Warehouse","Attended a concert venue with her sister","Event Attendance"
100680,"Community Center","Community Center","Disoriented due to hearing impairment","Disorientation"
100681,"Cabin","Cabin","Sick","Medical Uncertainty"
100686,"Religious Site","Religious Site","Found safely receiving support","Isolation Seeking"
100691,"Sports Arena","Sports Arena","Disoriented and found wandering","Disorientation"
100693,"Warehouse","Warehouse","Left the warehouse at midnight","Disorientation"
100694,"Warehouse","Warehouse","Hearing impaired and left cabin at night to go to a warehouse","Disorientation"
