1240,"Edward Street footbridge, Kilsyth","Bridge/Elevated Structure","Phoned family saying she was high above water, found sitting wrong side of bridge barriers, fell 20-25 feet","Impulsive/Crisis Location"
32739,"54 Nethergate South, Crail, KY10 3TZ","Unknown Location","After a search, Smith was safely traced to 54 Nethergate South, Crail, KY10 3TZ","Withdrawal/Escape"
35184,"Juvenile Center","Unknown Location","MP contacted a stranger amid a legal dispute before disappearing from a juvenile center; friends and family were concerned","Withdrawal/Escape"
18293,"Burntisland Road, Kinghorn","Juvenile Center Location","Known for living off-grid, was reported missing after he failed to arrive at a regularly scheduled meeting at a juvenile center","Withdrawal/Escape"
18293,"137 Admiralty Road, Rosyth","Dentist Office Location","Concern grew when repeated attempts to contact him proved unsuccessful","Withdrawal/Escape"
18293,"Favorite Bar","Social Location","Jennifer Walton, who frequently accompanied him during his regular commutes, confirmed that he intended to visit a dentist office near 137 Admiralty Road, Rosyth, but was last seen heading toward his favorite bar","Withdrawal/Escape"
18293,"Kinghorn","Unknown Location","He resurfaced independently after being traced by a member of the public","Withdrawal/Escape"
8949,"3 Russell Grove, Burntisland","Home Location","Last seen leaving his home at 3 Russell Grove, Burntisland","Withdrawal/Escape"
8949,"St Margaret's Head, North Queensferry","Unknown Location","According to his friend, Glen Moran, he had planned to visit St Margaret's Head, North Queensferry, but never arrived at his destination","Withdrawal/Escape"
8949,"71 King's Crescent, Rosyth","Unknown Location","After three days, Malcolm was located at 71 King's Crescent, Rosyth, safe and in good health","Withdrawal/Escape"
8949,"71 King's Crescent, Rosyth","Unknown Location","During questioning, he admitted to intentionally going off the grid for a few days to reflect and regain his focus, unaware of the concern he had caused his loved ones","Withdrawal/Escape"
74229,"3 Russell Grove, Burntisland","Home Location","Withdrawn from family, left in middle of night","Withdrawal/Escape"
74229,"12 Selvage Street, Rosyth, KY11 2QA","Unknown Location","He contacted a stranger, then was traced near 12 Selvage Street, Rosyth, KY11 2QA","Withdrawal/Escape"
7429,"3 Russell Grove, Burntisland","Home Location","Last seen leaving 3 Russell Grove, Burntisland","Withdrawal/Escape"
7429,"Juvenile Center","Unknown Location","He withdrew from his family, and it was reported that he left in the middle of the night, potentially heading towards a juvenile center on Carnegie Avenue, Dunfermline","Withdrawal/Escape"
7429,"1 Burnside Gardens, Burntisland, KY3 0DP","Unknown Location","His uncle noticed Malcolm's car parked near a juvenile center at 1 Burnside Gardens, Burntisland, KY3 0DP, which was unusual","Withdrawal/Escape"
7429,"28 Fairykirk Road, Rosyth, KY11 2QQ","Friend's Residence Location","After nearly 11 hours missing, police traced Malcolm to 28 Fairykirk Road, Rosyth, KY11 2QQ, where he was found safe","Withdrawal/Escape"
8195,"3 Russell Grove, Burntisland","Home Location","Gradually withdrawing from family, went missing from his home at 3 Russell Grove, Burntisland","Withdrawal/Escape"
8195,"Burntisland Road, Kinghorn","Juvenile Center Location","His son was the last family member to have any contact with him, and concerns rose when Malcolm failed to meet a colleague at the juvenile center on Burntisland Road, Kinghorn","Withdrawal/Escape"
8195,"9 Darney Terrace, Kinghorn","Unknown Location","After days of worry and speculation, he was located safe at 9 Darney Terrace, Kinghorn","Withdrawal/Escape"
39493,"Office","Work Location","Prior to vanishing, he contacted a stranger linked to an ongoing legal dispute he was embroiled in","Withdrawal/Escape"
39493,"Unknown","Unknown Location","His last known location was the office, where he appeared tense","Withdrawal/Escape"
39493,"Unknown","Unknown Location","No signs of foul play were evident, but his abrupt absence from professional and personal circles raised alarms","Withdrawal/Escape"
83232,"3 Russell Grove, Burntisland","Home Location","Left 3 Russell Grove in the middle of the night without notifying anyone","Withdrawal/Escape"
83232,"18-21 Mellor Court, Rosyth","Unknown Location","Concern grew when his uncle, who frequently checked on him, noticed his absence","Withdrawal/Escape"
83232,"24 Car Craig View, Burntisland","Unknown Location","As inquiries continued, it was discovered that Malcolm had been seen near the juvenile center at 18-21 Mellor Court, Rosyth","Withdrawal/Escape"
83232,"24 Car Craig View, Burntisland","Unknown Location","Upon tracing, authorities eventually found him safe at 24 Car Craig View, Burntisland","Withdrawal/Escape"
34975,"26 Bolam Drive","Unknown Location","Last seen at 26 Bolam Drive after contacting a stranger","Withdrawal/Escape"
34975,"Off-Grid Location","Unknown Location","Friend reports off-grid living","Withdrawal/Escape"
59375,"3 Russell Grove, Burntisland","Home Location","Vanished after leaving in the middle of the night from 3 Russell Grove","Withdrawal/Escape"
59375,"Castle Road, Rosyth","Grocery Store Location","He was later discovered at a grocery store near Castle Road, Rosyth, after contacting a stranger","Withdrawal/Escape"
59375,"Glen Moran's Location","Unknown Location","Police found him with Glen Moran, who had worriedly reported his absence","Withdrawal/Escape"
100367,"Unknown","Unknown Location","Not engaging with support services, raising concerns about his wellbeing and reluctance for police contact","Withdrawal/Escape"
100368,"Juvenile Center","Unknown Location","Visits juvenile center","Withdrawal/Escape"
100369,"nan","nan","nan","Withdrawal/Escape"
100370,"Public Space","Unknown Location","Displayed distress in public space","Withdrawal/Escape"
100371,"nan","nan","nan","Withdrawal/Escape"
100372,"nan","nan","nan","Withdrawal/Escape"
100373,"nan","nan","nan","Withdrawal/Escape"
100374,"Unknown","Stranger's Location","Contacted a stranger before vanishing; Glen Moran, a friend, verified recent visits to a juvenile center","Withdrawal/Escape"
100375,"Juvenile Center","Unknown Location","Living off-grid, was observed near the juvenile center, raising concerns about his wellbeing","Withdrawal/Escape"
100376,"Juvenile Center","Unknown Location","Refused police interaction at the juvenile center, expressing no signs of victimization or crime","Withdrawal/Escape"
100377,"Unknown","Unknown Location","His whereabouts unknown, Glen Moran last saw him Friday","Withdrawal/Escape"
100378,"nan","nan","nan","Withdrawal/Escape"
100379,"nan","nan","nan","Withdrawal/Escape"
100380,"Juvenile Center","Unknown Location","28, was seen at a juvenile center after discussions with colleague Dominic Preston, showing no signs of distress","Withdrawal/Escape"
100381,"nan","nan","nan","Withdrawal/Escape"
100382,"Juvenile Center","Unknown Location","Left juvenile center overnight; Glen is aware","Withdrawal/Escape"
100383,"Unknown","Unknown Location","While involved in a legal dispute, connected with his brother Gerald Moore","Withdrawal/Escape"
100384,"Burntisland Rd, KY3 9RZ","Unknown Location","Seen on Burntisland Rd, KY3 9RZ, possibly meeting brother Gerald Moore","Withdrawal/Escape"
100385,"nan","nan","nan","Withdrawal/Escape"
