1240,"Edward Street footbridge, Kilsyth","Bridge/Elevated Structure","Phoned family saying she was high above water, found sitting wrong side of bridge barriers, fell 20-25 feet","Impulsive/Crisis Location"
43232,"Glenurquhart Road, Inverness","Residential Area","She was later traced at Glenurquhart Road, Inverness, raising concerns for her safety","Social/Relationship Issues"
40357,"Hamilton Crescent","Hair Salon/Beauty Location","Her grandmother recalled that Jessica spoke fondly of visiting tranquil locales, fueling hope that she had simply sought solitude","Isolation Seeking"
40357,"Smith Drive","Residential Area","Eventually, police traced her to a friend's home on Smith Drive, where she was found safe and well, bringing relief to her concerned circle","Social/Relationship Issues"
3512,"Airport","Travel/Transportation Hub","Jessica Davis, estranged from relatives, was last seen boarding an airplane for a trip to a vacation spot with a new romantic partner unknown to others","Estrangement/Relationship Issues"
78063,"25 Southside Road, Inverness","Residential Area","She was known to have been estranged from her relatives and had recently begun seeing a new romantic partner, whose identity remained unknown to her family and friends","Social/Relationship Issues"
78063,"167 Culduthel Road, Inverness","Residential Area","Initial investigations revealed that Jessica might have traveled between a few notable locations, including 167 Culduthel Road in Inverness","Social/Relationship Issues"
78063,"2 Linkwood Lane, Elgin","Residential Area","Initial investigations revealed that Jessica might have traveled between a few notable locations, including 167 Culduthel Road in Inverness","Social/Relationship Issues"
78063,"Shore Street, Inverness","Residential Area","Reports suggested she was also seen on Shore Street, raising questions about her whereabouts","Social/Relationship Issues"
78063,"Sir Walter Scott Drive","Residential Area","Ultimately, Jessica was located on Sir Walter Scott Drive, traced by her family, and her risk level was subsequently reduced","Social/Relationship Issues"
6066,"Black Isle Road, Muir of Ord","Community/Gathering Place","She was accompanied by her grandmother, who reported that Jessica seemed preoccupied with her upcoming vacation plans","Isolation Seeking"
6066,"Hair Salon","Hair Salon/Beauty Location","An investigation revealed she might have been at a hair salon before heading towards the airport","Social/Relationship Issues"
6066,"Proby Street, Maryburgh","Residential Area","Her suitcase, found abandoned at Proby Street, Maryburgh, sent investigators to broaden the search, coordinating with airports through her detailed travel plans","Social/Relationship Issues"
56332,"Coxton Park, Elgin","Park/Recreational Area","Her friend, Christine Craig, mentioned that Jessica had talked about plans for an impromptu trip to a vacation spot with her mysterious partner","Isolation Seeking"
56332,"Shore Street, Inverness","Residential Area","Concern grew when Jessica missed a scheduled visit to a hair salon on Shore Street, Inverness","Social/Relationship Issues"
56332,"Sir Walter Scott Drive","Residential Area","The situation prompted a search, which eventually led to her being traced at Sir Walter Scott Drive, after which Jessica's circumstances became clear","Social/Relationship Issues"
31226,"167 Culduthel Road, Inverness","Residential Area","Jessica, estranged from relatives, had been planning a solo trip to a popular vacation spot","Isolation Seeking"
31226,"Shore Street, Inverness","Residential Area","Police later traced her to Smith Drive, unharmed, finalizing the search in a low-risk resolution","Social/Relationship Issues"
31226,"Smith Drive","Residential Area","Police later traced her to Smith Drive, unharmed, finalizing the search in a low-risk resolution","Social/Relationship Issues"
85712,"Culduthel Avenue, Inverness","Residential Area","The last known information placed her boarding an airplane from a remote location on Culduthel Avenue, Inverness","Social/Relationship Issues"
85712,"Sir Walter Scott Drive","Residential Area","Despite extensive searches, initially, little was discovered about her whereabouts while missing, leading to a high-risk classification","Social/Relationship Issues"
