,potential_positive,positive,partial,missing,insert_all,insert_but_in_text,insert_hallucination,try_count,truth_set,summ_set,misperid
10,33,0,33,27,0,0,0,1,"{'31 Step Row Dundee DD2 1AH', '1 Logie Street', '12 South Esk Road Forfar', 'Street Dundee', '296A Strathmore Avenue Dundee', 'Glamis Road Dundee', 'Dalgleish Road', 'synagogue', 'DD2', 'Road Dundee', '1', '16 Cleghorn Street Dundee', 'Finavon Street', 'Tayside Street Carnoustie', 'Turnberry Avenue Dundee', '11 Panmure Terrace Dundee', '2 Herod Hill Brae Dundee', 'St', '1 Alloway Place Dundee', 'Ballumbie Road Dundee', 'Commerce Street Brechin', '146 Pitkerro Road Dundee', 'East School Road', 'book club', 'Den', '19 Dalgleish Street Tayport', 'Adelaide Place Dundee', 'Findcastle Street Dundee', '2 Dalgleish Road Dundee', 'adult day care', 'home', 'Derwent Avenue', 'Hyndford Street Dundee', 'Dundee', 'Commerce Street Brechin DD9 7BD', '3 Boniface Place Dundee', '28A Dura Street Dundee', 'Dalgleish', 'bingo hall', 'Road', 'Gray Den', 'Roseberry Street Dundee', 'Street', 'Stannergate Road Dundee', 'East School Road Dundee DD3 8NX', 'Ballumbie Road', 'medical clinic', 'Boniface Place', 'Auldbar Road Forfar', 'pharmacy', 'Adelaide Place', '31 Step Row Dundee', 'Street Brechin DD9', 'senior housing', 'retirement community', 'Way', 'Roseberry Street', 'Roseberry Street Dundee DD2 2NS', 'park', 'grocery store'}","{'41 Dock Street, Dundee', '41 Dock Street'}",386
11,16,2,14,2,6,6,0,1,"{'11', 'volunteer organization', 'Dundee Road Arbroath', '22 Marine Parade Walk Dundee', 'Roseberry Street Dundee', 'Street', '6 Lownie Road Forfar', 'Auldbar Road Forfar', 'skate park', 'Tayside Street Carnoustie DD7 6AX', '150 Strathmartine Road Dundee', 'summer camp', 'Road Forfar DD8', '2', 'Road Forfar', 'Discovery Quay Dundee', 'New Road Forfar DD8 2AE', 'Dundee'}","{'22 Marine Parade Walk, Dundee', '23 City Road, Dundee', 'Tayside Street, Carnoustie, DD7 6AX', 'skate park', 'construction site', '150 Strathmartine Road, Dundee', 'military base', 'harbor', 'bridge', 'Dundee Road, Arbroath', 'New Road, Forfar', 'Roseberry Street, Dundee', 'Discovery Quay, Dundee', '6 Lownie Road, Forfar', 'Auldbar Road, Forfar', 'New Road, Forfar, DD8 2AE', 'military base parking lot', 'summer camp', '2 Herod Hill Brae, Dundee, DD4 8FG', 'elevator', 'Hyndford Street'}",403
12,8,0,8,2,13,13,0,1,"{'Turnberry Avenue', 'volunteer organization', '31 Step Row Dundee', '31 Step Row', 'Turnberry Avenue Dundee DD2 3TP', 'Dundee DD2', 'Home', 'Turnberry Avenue Dundee', 'Dundee', 'Turnberry'}","{'isolated forested areas', '', 'restaurant', 'Adelaide Place, Dundee', '3 Boniface Place', 'Turnberry Avenue, Dundee', '31 Step Row, Dundee', 'local military base', 'forest', 'Kirsty Semple Way', 'playground', 'Auldbar Road, Forfar', 'secluded woods', 'dock/marina', 'Boniface Place', 'religious site'}",416
13,14,1,13,5,4,4,0,1,"{'Countess Crescent EH42 1DX', 'Cluny Drive Edinburgh EH10 6DP', 'Knox Place Haddington EH41 4EB', 'study group', 'The Cross EH49 7AH', '16', 'house', '26a Pumpherston Road Livingston', '7 Woodhall Grove Edinburgh', 'Drive', 'Edinburgh', 'sports club', 'playground', 'movie theater', '18 Ware Road EH39 4BN', '40 Woodhall Road Edinburgh', '6', '60 Newcraighall Road Edinburgh', 'dance studio'}","{'playground near 18 Ware Road', 'Cluny Drive', 'Countess Crescent', 'Livingston', '60 Newcraighall Road', '26a Pumpherston Road', 'domestic violence-related restaurant', 'movie theater', 'Countess Crescent, EH42 1DX', 'The Cross', '16 Williamstone Court', 'dance studio on Cluny Drive', 'restaurant', 'alleyway', '7 Woodhall Grove', 'EH49 7AH', 'Haddington', 'school', '10-16 Cluny Drive', 'Knox Place', '18 Ware Road', '40 Woodhall Road', 'EH39 4BN', 'restaurant near 10-16 Cluny Drive'}",422
14,33,4,29,2,13,12,1,1,"{'14 East Park Inchmarlo AB31 4GB', 'Beltie Road', 'neighborhood cafe', 'North Lane Archiestown AB38 7QL', 'Bog Road', 'Seafield Circle Buckie', 'Inchmarlo', 'Mill Road Insch', 'Gordon Crescent', 'Carmelite Street Banff', 'book club', 'A939 Corgarff AB36 8YL', 'school events', 'North Road Insch AB52 6XP', 'Inchmarlo Road Banchory AB31 4AB', '3 Kingsford Road Alford AB33 8HH', 'Bog Road AB31 4JU', 'bingo hall', 'Road', 'Banchory', 'Street', 'A939 Corgarff', 'Gordon Crescent AB34 5HJ', 'of', 'Home', 'nursing home', 'Mar Road Braemar', 'school', '3', 'Mill Road Insch AB52 6JA', 'Carmelite Street Banff AB45 1GF', 'retirement community', 'Mar Road Braemar AB35 5YN', 'park', 'Bridgend of Glenlivet Ballindalloch'}","{'Bog Road, AB31 4JU', '14 East Park, Inchmarlo, AB31 4GB', 'Beltie Road', 'forest', 'March Road, Buckie', 'forest near the cliff', 'Buckie', 'nearby forested area', 'cliff close to Seafield Circle, Buckie', 'Gordon Crescent, AB34 5HJ', 'local bingo hall', 'abandoned building on Inchmarlo Road, Banchory, AB31 4AB', 'Gordon Crescent', 'tunnels near Inchmarlo Road, Banchory, AB31 4AB', 'tunnel near North Lane, Archiestown, AB38 7QL', 'Carmelite Street, Banff, AB45 1GF', 'March Road, Buckie, AB56 1ER', 'A939, Corgarff, AB36 8YL', 'cliffs', 'Bridgend of Glenlivet, Ballindalloch', 'abandoned building close to the Bog Road nursing home', 'tunnels around the retirement community', 'tunnel leading away from the casino', 'North Lane, Archiestown, AB38 7QL', 'secluded area', 'cliff edge', 'Mill Road, Insch, AB52 6JA', 'Edward Street 1 CB30SZ', 'Inchmarlo Road, Banchory, AB31 4AB', 'abandoned building', 'abandoned building close to the cliffs', 'school', '3 Kingsford Road, Alford, AB33 8HH', 'Mar Road, Braemar', 'Alford', 'casino', 'North Road, Insch, AB52 6XP', 'A939, Corgarff', 'Mill Road', 'nearby tunnel', 'tunnel opening on Mill Road, Insch', 'park', 'cliff', 'Carmelite Street, Banff', 'tunnel'}",443
15,4,0,4,4,1,1,0,1,"{'bingo hall', '312 Greengairs Road Greengairs', 'Derwent Avenue Dundee DD3 0AX', 'Derwent Avenue Dundee', '312 Greengairs Road', '312 Greengairs Road Greengairs ML6 7TQ', 'Home', '312 Greengairs'}","{'', '312 Greengairs Road, Greengairs, ML6 7TQ', '312 Greengairs Road, Greengairs'}",453
16,15,2,13,8,1,1,0,1,"{'Culduthel Avenue Inverness', 'Lotland Street', 'Balmakeith Industrial Estate', 'gym', 'of', 'music lessons', 'youth center', 'tutoring center', 'Leachkin Road Inverness', '35 Cranmore Drive Inverness', 'Glenurquhart Road', 'Sir Walter Scott Drive', 'Road Inverness', 'Orchard Park Beauly', 'Sir Walter Scott Drive Inverness', 'movie theater', 'playground', '25 Harbour Road Inverness', '167 Culduthel Road Inverness', 'Inverness', 'Longman Road Inverness', 'Linkwood Way Elgin', 'Seaforth Road Muir of Ord'}","{'Orchard Park, Beauly', 'Leachkin Road, Inverness', 'Culduthel Road, Inverness', '25 Harbour Road, Inverness', 'Balmakeith Industrial Estate', 'Glenurquhart Road', 'School', 'Cave near Longman Road, Inverness', 'Culduthel Park', '11 Eastgate, Inverness', 'Edward Street 1 CB30SZ', 'Culduthel Avenue, Inverness', 'Lotland Street, Inverness', '35 Cranmore Drive, Inverness', 'Sir Walter Scott Drive, Inverness'}",459
17,4,3,1,0,7,7,0,1,"{'Home', '312 Greengairs Road Greengairs ML6 7TQ', 'movie theater', '312 Greengairs Road'}","{'concert venue', 'bathroom', 'beach', 'ML6 7TQ', 'ferry', '312 Greengairs Road', '9 Caroline Street', 'ferry terminal', 'movie theater', 'Home', 'Greengairs', 'school'}",475
18,1,0,1,1,5,5,0,1,"{'Walker Drive South Queensferry', '2'}","{'bar/nightclub', 'highway', 'river', 'Walker Drive, South Queensferry', ""grandfather's farm"", 'secluded farm by the river'}",490
19,8,2,6,1,9,9,0,1,"{'Road', '312 Greengairs Road Greengairs', 'Ballumbie Road Dundee', '312 Greengairs Road', '312 Greengairs Road Greengairs ML6 7TQ', 'Home', 'Ballumbie Road', 'tutoring center', 'Ballumbie Road Dundee DD4 0PD'}","{'Local trails', 'Greengairs Road', 'Grocery store on Ballumbie Road, Dundee', 'Tutoring center', 'School', 'Local grocery store', '312 Greengairs Road', 'Local park', 'South Groathill Avenue, Edinburgh', 'Grocery store', 'Greengairs', 'Hamilton Place in Rosyth', 'Broxden Avenue, Perth', 'Ballumbie Road, Dundee', 'Grocery store near 312 Greengairs Road', 'Hamilton Place, Rosyth'}",553
20,11,5,6,1,3,3,0,1,"{'Road', 'Hall Road Rhu', 'Acre Drive', '6 Bard Avenue', 'physical therapy clinic', 'clinic', 'Archerhill Road Glasgow', 'West Clyde Street Helensburgh', 'church', '21 Rampart Avenue', '279 Milngavie Road Glasgow', '1a The Auld Road'}","{'bus station', '6 Bard Avenue', 'Acre Drive', 'Hall Road, Rhu', 'locker room', 'wilderness', 'clinic', '1a The Auld Road', '279 Milngavie Road', '112-117 West Clyde Street, Helensburgh', '21 Rampart Avenue', 'Belsyde Avenue', '224-226 Archerhill Road'}",615
21,6,2,4,2,10,9,1,1,"{'The Meadows Stirling', '312 Greengairs Road Greengairs', 'The', 'gym', '312 Greengairs Road', 'Home', '14 The Meadows Stirling', 'Greengairs'}","{'remote island', 'Southside Road, Inverness', 'Caledonia Court, Rosyth', 'Broxden Avenue', 'The island in Perth', 'nearby islands', '312 Greengairs Road', 'nearby ferry dock', 'Greengairs', 'Edward Street 1 CB30SZ', 'local island', 'island', 'The Meadows, Stirling', 'Inverness', 'school'}",656
22,38,2,36,5,9,8,1,1,"{'workplace', 'Place Rosyth', '1 Craig Court Burntisland', '1', 'Place', 'Mid', 'church', 'Lochies Road Burntisland', '28 Castle Street Crail', 'St', '16 Burney Place Rosyth', 'office', 'Abbey Walk St Andrews', 'professional networking events', 'Rosyth KY11', 'coffee shop', '8', 'Burntisland', '15 Woodside Avenue Rosyth', 'Upper Largo', 'Rosyth', '137', '7 Dorran Square KY6 3DU', 'Road', 'Parkside', 'Castle Road Rosyth', 'Castlandhill Road Rosyth KY11 2PZ', '137 Park Road West Rosyth', 'Street', '53 Newton Crescent Rosyth KY11 2QW', '30 Selvage Place', 'North Street Glenrothes', '16 Albert Street Rosyth', 'West Green Crail', '34 Kirkton Drive Burntisland', '61 Harley Street Rosyth', '23 Haddow Grove Burntisland', '3', '1 Primrose Avenue Rosyth KY11 2SX', '1 Collinswell Drive Burntisland', 'North', 'regular bar', 'childcare facility'}","{'Abbey Walk, St Andrews', '1 Craig Court, Burntisland', 'a drug house', 'a local truck stop', 'Lochies Road, Burntisland', '53 Newton Crescent, Rosyth', ""8 King's Place, a suspected drug house"", 'a drug house at 16 Burney Place, Rosyth', 'a childcare facility close to 1 Collinswell Drive, Burntisland', 'Hilary Gregory mentioned that Gavin had expressed concerns about his illegal employment status possibly being discovered', 'a truck stop', 'a national park', 'a forested area near a national park', '16 Albert Street, Rosyth', 'Chapel Level, Kirkcaldy', '23 Haddow Grove, Burntisland', '16 Burney Place, Rosyth', 'social services', '1 Collinswell Drive, Burntisland', '1 Primrose Avenue, Rosyth', 'a forested area', 'a remote area of a national park', 'a water-related location at 34 Kirkton Drive, Burntisland', '137 Park Road West, Rosyth', 'Upper Largo', 'Castlandhill Road, Rosyth, KY11 2PZ', '7 Dorran Square, KY6 3DU', '38 Backmarch Crescent, Rosyth', '34 Kirkton Drive, Burntisland', 'a known drug house near 1 Primrose Avenue, Rosyth', '1 Parkside Square, Rosyth', 'a drug house at 7 Dorran Square, KY6 3DU', 'a coffee shop near a truck stop', 'a church', 'Castle Road, Rosyth', 'a truck stop near Lochies Road, Burntisland', '28 Castle Street, Crail', 'Nicol Drive', '30 Selvage Place', 'North Street, Glenrothes', 'a water-related area', 'his workplace', 'Kirkcaldy', '6-9 West Green, Crail', 'a truck stop near a national park', '61 Harley Street, Rosyth', 'a truck stop at 61 Harley Street, Rosyth', '15 Woodside Avenue, Rosyth'}",683
23,7,0,7,3,4,3,1,1,"{'fast food restaurant', 'Knox Place Haddington EH41 4EB', '1 St James Square Edinburgh', '13 Browns Place East Linton', 'shopping mall', 'Edinburgh', '1', 'EH4', 'The Cross EH49 7AH', '5 Pheasant Walk North Berwick EH39 5HX'}","{'wilderness, cave', 'The Cross, EH49 7AH', '5 Pheasant Walk, North Berwick, EH39 5HX', 'wilderness', 'escalator', 'cave', '1 St James Square, Edinburgh', 'Knox Place, Haddington, EH41 4EB', 'Kings Cairn, EH39 5HQ', 'Abbotsford Road, North Berwick', '13 Browns Place, East Linton'}",729
24,10,2,8,3,2,2,0,1,"{'Whitefriars Street Perth PH1 1PP', 'Road', 'Whitefriars Street Perth', 'Balmoral Road Blairgowrie', 'regular walking route', 'synagogue', 'senior center', 'Moray Street', 'Street', '10 12 Southlands Road Auchterarder', 'Home', 'Moray Street Blackford PH4 1QF', 'Moray Street Blackford'}","{'Balmoral Road, Blairgowrie', '10 & 12 Southlands Road, Auchterarder', 'Luncarty', 'Strathview Gardens, Pitlochry', 'Auchterarder', 'synagogue', 'Moray Street', '22-24 Whitefriars Street, Perth', 'Blackford mine', 'Whitefriars Street, Perth', 'farm near Moray Street, Blackford', 'Moray Street, Blackford'}",777
25,24,3,21,7,4,3,1,1,"{'Road', 'Rosedene Court Inverness', 'Hamilton Drive IV30 4NN', 'Ord Drive Muir of Ord', 'Duncan Drive IV30 4NH', 'Hamilton Crescent IV30 4NW', '34 Tyock Industrial Estate Elgin', 'Place', 'Inverness', 'Home', 'nursing home', 'of', 'Linkwood Way', 'Glenurquhart Road Inverness IV3 5NX', 'Hamilton Crescent', '9', 'Elgin', 'Ord Drive Muir of Ord IV6 7UH', 'Hamilton', '9 Charles Cameron Place Kyleakin', 'pharmacy', '9 Charles Cameron Place Kyleakin IV41 8AB', 'assisted living facility', 'book club', 'regular walking route', 'Sir Walter Scott Drive Inverness', 'Linkwood Way Elgin', 'dialysis center', '9 Caroline Street IV40 8EH', 'library', 'Glenurquhart Road Inverness'}","{'Ord Drive, Muir of Ord, IV6 7UH', '9 Caroline Street, IV40 8EH', 'Hamilton Crescent, IV30 4NW', 'Highlands', 'Black Isle Road, Muir of Ord, IV6 7RR', 'Lotland Street, Inverness', 'Tyock Industrial Estate, Elgin', 'Elgin', '34 Tyock Industrial Estate, Elgin', 'Ord Drive, Muir of Ord', 'Glenurquhart Road, Inverness, IV3 5NX', '8-10 Linkwood Way, Elgin', 'campground near Glenurquhart Road, Inverness', 'Inverness', 'Mayne Road, Elgin', 'family residence in Inverness', 'Brumley Brae', '8-10 Linkwood Way, Elgin, IV30 1HY', 'campground', '9 Charles Cameron Place, Kyleakin', '1-14 Rosedene Court, Inverness', 'pharmacy near Hamilton Crescent, IV30 4NW', 'Glenurquhart Road, Inverness', 'campground with Donald Day', 'Hamilton Crescent', '39 Greig Street, Inverness', 'Sir Walter Scott Drive, Inverness', 'Duncan Drive, IV30 4NH', 'campground off Hamilton Drive, IV30 4NN', '9 Charles Cameron Place, Kyleakin, IV41 8AB', 'Brumley Brae, IV30 4NR'}",781
26,10,1,9,2,0,0,0,1,"{'53 Cultybraggan Camp PH6 2AB', 'Cultybraggan Camp PH6 2AB', 'Atholl Road', 'Roy Bridge Road Spean Bridge PH34 4EU', 'Road', '53 Cultybraggan Camp', 'Atholl Road Pitlochry', 'assisted living facility', 'Atholl Road Pitlochry PH16 5LX', 'Home', 'park', 'Roy Bridge Road Spean Bridge'}","{'Roy Bridge Road, PH34 4EU', '53 Cultybraggan Camp, PH6 2AB', 'Roy Bridge Road, Spean Bridge, PH34 4EU', 'Atholl Road, PH16 5LX', 'Atholl Road, Pitlochry', 'Home', 'Roy Bridge Road, Spean Bridge'}",783
