61771,"36-42 Watson Avenue, St Andrews","Street/Residential Area","Concern grew when her foster father realized she was missing after Anne failed to return home","Impulsive/Crisis Location"
82269,"97 Backmarch Road, Rosyth","Street/Residential Area","After an extensive search, Anne was safely found by police near 97 Backmarch Road, Rosyth, unharmed","Safe Location"
35502,"Alleyway close to her home in Kinghorn","Alleyway/Area","Friends mentioned that she had been intrigued by mysteries in the area, speculating about a secret cult rumored to meet nearby","Cult Location"
35502,"Kinghorn","Street/Residential Area","Friends mentioned that she had been intrigued by mysteries in the area, speculating about a secret cult rumored to meet nearby","Cult Location"
22742,"Lochies Road, Burntisland","Street/Residential Area","Anne was last seen leaving her friend's house on Lochies Road, Burntisland, KY3 9JX, after music lessons","Search Location"
22742,"Pitreavie Drive, Dunfermline","Street/Residential Area","Anne was later traced by police to Pitreavie Drive, Dunfermline, KY11 8UH","Safe Location"
48135,"13 Charles Logan Place, Rosyth","Street/Residential Area","Concern grew when Anne didn't return home or meet her friend as planned","Search Location"
48135,"23 Tod's Green, Crail","Street/Residential Area","Anne was eventually found safe at 23 Tod's Green, identified by a member of the public familiar with missing persons alerts","Safe Location"
2689,"2-8 Willow Crescent, Rosyth","Street/Residential Area","Anne was last seen leaving 2-8 Willow Crescent, Rosyth, KY11 2ZS, her foster father mentioned she was heading towards 36-42 Watson Avenue, St Andrews, KY16 8JE, to meet Melissa Arnold","Search Location"
2689,"36-42 Watson Avenue, St Andrews","Street/Residential Area","Anne was last seen leaving 2-8 Willow Crescent, Rosyth, KY11 2ZS, her foster father mentioned she was heading towards 36-42 Watson Avenue, St Andrews, KY16 8JE, to meet Melissa Arnold","Search Location"
52396,"David the First Street in Kinghorn","Street/Residential Area","Anne was last seen leaving her foster home on David the First Street in Kinghorn","Search Location"
52396,"Wood Road, Rosyth","Street/Residential Area","Anne was reportedly a potential witness to a crime that occurred on Wood Road, Rosyth","Cult Location"
52396,"75 Nethergate, Crail","Street/Residential Area","Her connection to Harriet Robson, a colleague of one of her foster family members, was also under investigation, as Harriet was known to frequent locations like 75 Nethergate, Crail, and 28 Cunzie Street, Anstruther","Search Location"
52396,"28 Cunzie Street, Anstruther","Street/Residential Area","Her connection to Harriet Robson, a colleague of one of her foster family members, was also under investigation, as Harriet was known to frequent locations like 75 Nethergate, Crail, and 28 Cunzie Street, Anstruther","Search Location"
76821,"7 Aithernie Drive, Upper Largo","Street/Residential Area","MP might be involved in a cult and a witness to a crime near 7 Aithernie Drive, Upper Largo","Cult Location"
91125,"34 Kirkton Drive, Burntisland","Street/Residential Area","Anne Evans was last seen leaving her foster mother's home at 34 Kirkton Drive, Burntisland","Search Location"
91125,"Cafe near her college","Cafe/Area","She reportedly visited a cafe near her college and might be linked to a local cult, as suggested by a possible witness to a crime","Cult Location"
49921,"Fowler Street, Cellardyke","Street/Residential Area","Anne Evans, aged 9, was last seen at a playground on Fowler Street, Cellardyke","Search Location"
49921,"Abbey Walk, St Andrews","Street/Residential Area","Witnesses reported seeing Anne walking through an alleyway adjacent to the playground shortly after midday, suggesting she may have been heading towards the tutoring center at Abbey Walk, St Andrews","Search Location"
49921,"David the First Street, Kinghorn","Street/Residential Area","Staff found her safe at an address on David the First Street, Kinghorn","Safe Location"
38991,"Alleyway adjacent to a nearby cafe","Alleyway/Area","Anne was seen chatting with a neighbor near the alleyway, before she wandered off","Search Location"
38991,"24 Car Craig View, Burntisland","Street/Residential Area","Anne was seen chatting with a neighbor near the alleyway, before she wandered off","Search Location"
38991,"Nicol Drive, Burntisland","Street/Residential Area","After a thorough search of surrounding areas, she was eventually found safe at a friend's house on Nicol Drive, Burntisland, KY3 9JB","Safe Location"
101382,"Unknown","Unknown","Anne, age 10, is possibly involved in a cult, prompting this report","Cult Location"
101384,"Unknown","Unknown","Anne's foster father reported concerns after noticing signs of self-harm","Self-Harm Location"
101385,"Unknown","Unknown","Anne expressed concerns to Lynne","Concern Location"
101386,"Unknown","Unknown","After a chat with Melissa Arnold, Anne showed signs of distress at home despite a healthy family environment, prompting concern for her wellbeing","Concern Location"
101388,"Alleyway","Alleyway/Area","Anne was found in an alleyway after leaving home, following a discussion with her foster father about her wellbeing","Search Location"
101389,"Alleyway","Alleyway/Area","After visiting Barbara Clements, Anne was found in an alleyway looking distressed, needing support and guidance","Search Location"
101390,"32 Caledonia Court","Street/Residential Area","Anne felt unsafe at 32 Caledonia Court","Concern Location"
