1240,"Edward Street footbridge, Kilsyth","Bridge/Elevated Structure","Phoned family saying she was high above water, found sitting wrong side of bridge barriers, fell 20-25 feet","Impulsive/Crisis Location"
72638,"Truck stop","Highway/Service Area","Police found her later","Impulsive/Crisis Location"
2912,"Finavon Street, Dundee","Street/Urban Area","Last seen after attending an organized protest near Finavon Street, Dundee","Impulsive/Crisis Location"
2912,"Truck stop","Highway/Service Area","Abduction was suspected due to unpaid debts","Impulsive/Crisis Location"
13566,"312 Greengairs Road, Greengairs","Residential/Home","Vanished after leaving Home at 312 Greengairs Road","Isolation Seeking"
13566,"Construction site","Street/Urban Area","Seen near a construction site by her son en route to a grandchild's school event","Impulsive/Crisis Location"
38831,"312 Greengairs Road, Greengairs","Residential/Home","Unexpectedly went missing from her home at 312 Greengairs Road","Isolation Seeking"
38831,"Finavon Street, Dundee","Street/Urban Area","Linked to an organized protest earlier in the day","Impulsive/Crisis Location"
38831,"30 East Pier Street","Street/Urban Area","Traced to 30 East Pier Street, where she was found unharmed by the police","Isolation Seeking"
15780,"312 Greengairs Road, Greengairs","Residential/Home","Last seen in the suburban area of a retirement community","Isolation Seeking"
15780,"Concert venue","Street/Urban Area","An acquaintance reported seeing her near a concert venue later that day with an unknown individual","Impulsive/Crisis Location"
15780,"30 East Pier Street","Street/Urban Area","Eventually traced to a different location in good health, albeit disoriented","Isolation Seeking"
12032,"312 Greengairs Road, Greengairs","Residential/Home","Vanished from a construction site near 312 Greengairs Road","Impulsive/Crisis Location"
12032,"Zoo","Zoo/Amusement Park","Her daughter last saw her visiting the nearby zoo before she went missing","Impulsive/Crisis Location"
27488,"Finavon Street, Dundee","Street/Urban Area","Last seen with her son at a truck stop on Finavon Street, Dundee","Impulsive/Crisis Location"
27488,"Attic","Residential/Home","Abduction was initially suspected after she vanished from a nearby attic","Impulsive/Crisis Location"
57767,"312 Greengairs Road, Greengairs","Residential/Home","Went missing from her home at 312 Greengairs Road","Isolation Seeking"
57767,"Finavon Street, Dundee","Street/Urban Area","Linked to organized protests at a concert venue","Impulsive/Crisis Location"
57767,"3 St Andrew's Way, Livingston","Residential/Home","Leads pointed towards a retirement community at 3 St Andrew's Way, Livingston, where she was known to visit","Isolation Seeking"
100730,"Attic","Residential/Home","Deborah, suffering from dementia, was found disoriented in her attic","Isolation Seeking"
100731,"Attic","Residential/Home","Deborah wandered from a suburban venue to a concert site, causing concern for her daughter and sister","Impulsive/Crisis Location"
100732,"Concert site","Street/Urban Area","Deborah found in attic","Isolation Seeking"
100733,"Attic","Residential/Home","nan","Isolation Seeking"
100734,"Attic","Residential/Home","Deborah found in attic","Isolation Seeking"
100735,"Attic","Residential/Home","nan","Isolation Seeking"
100736,"Attic","Residential/Home","Deborah, aged 96, struggles with dementia, causing concerning behaviors","Isolation Seeking"
100737,"Attic","Residential/Home","Deborah, aged 96 with dementia, was found disoriented in the suburban attic of her daughter's home after wandering from a nearby truck stop","Impulsive/Crisis Location"
100738,"Construction site","Street/Urban Area","Deborah, a 96-year-old woman with dementia, has been repeatedly linked to an organized protest occurring at a suburban construction site","Impulsive/Crisis Location"
100739,"Care facility","Residential/Home","Deborah, 96, with dementia, was last seen leaving her care facility alone","Isolation Seeking"
100740,"Zoo","Zoo/Amusement Park","Deborah confused at zoo","Impulsive/Crisis Location"
100741,"Attic","Residential/Home","nan","Isolation Seeking"
100742,"Attic","Residential/Home","nan","Isolation Seeking"
100743,"Attic","Residential/Home","nan","Isolation Seeking"
100744,"Zoo","Zoo/Amusement Park","Deborah, 96, went missing after attending a concert venue with Debra Pearson, her sister. She was last seen wandering near the zoo due to dementia confusion","Impulsive/Crisis Location"
100745,"Attic","Residential/Home","nan","Isolation Seeking"
100746,"Zoo","Zoo/Amusement Park","Deborah spotted at a zoo with abduction suspicion","Impulsive/Crisis Location"
