1240,"Edward Street footbridge, Kilsyth","Bridge/Elevated Structure","Phoned family saying she was high above water, found sitting wrong side of bridge barriers, fell 20-25 feet","Impulsive/Crisis Location"
25220,"1 Kerr Court, Burntisland","Road/Street","He often enjoyed traveling to familiar places despite his physical challenges","Family-Related Location"
25220,"57 King's Road, Rosyth","Road/Street","This departure from his routine led to Antony being reported missing","Disorientation Location"
25220,"3 Elder Place, Rosyth","Road/Street","Eventually, a police search found him safe at 3 Elder Place, Rosyth, where he'd taken refuge, confused and unaware of his disappearance's impact","Disorientation Location"
95053,"26 Leslie Road, Rosyth","Road/Street","Known to occasionally wander due to his condition, Antony had mentioned visiting his sister, Amanda Mason, earlier that day","Family-Related Location"
95053,"5 Seamill Gardens","Road/Street","After leaving the grocery store at 5 Seamill Gardens, he was reportedly seen entering an alleyway nearby, possibly disoriented","Disorientation Location"
95053,"66 Kirkbank Road, Burntisland","Road/Street","Antony was eventually found safely, having taken shelter in a closet at 66 Kirkbank Road, Burntisland, after losing his way","Disorientation Location"
55996,"39-42 Alexander Place, Rosyth","Road/Street","Concern arose after he failed to return home","Family-Related Location"
55996,"Wood Road, Rosyth","Road/Street","Found safe later by police on Wood Road, Rosyth","Disorientation Location"
40330,"Community Center","Community Center","He was known to occasionally wander into alleyways, particularly after social engagements","Disorientation Location"
40330,"1 Grange House Gardens, Burntisland","Road/Street","Antony was eventually traced by Burntisland police, found unharmed but disoriented, safely ending the brief ordeal","Disorientation Location"
44975,"North Street, Glenrothes","Road/Street","Close friends grew concerned after not hearing from him for several days, as Antony was known for frequenting local mental health support groups","Mental Health Location"
44975,"Pitreavie Drive, Dunfermline","Road/Street","Antony was eventually traced by staff at a facility on Pitreavie Drive, Dunfermline, KY11 8UH","Disorientation Location"
82640,"Mosque","Place of Worship","His brother reported that Antony wandered off without notice","Family-Related Location"
82640,"Castle Street, Crail","Road/Street","Later, he was found safe by police at Castle Street in Crail","Disorientation Location"
57235,"Abbey Park Avenue, St Andrews","Road/Street","Antony vanished from his regular walking route near Abbey Park Avenue, St Andrews, an unknown medical condition may have contributed","Disorientation Location"
79819,"32 Caledonia Court, Rosyth","Residence","He was last seen near an alleyway at 53 Newton Crescent, Rosyth, known to frequent due to an unknown medical condition","Disorientation Location"
79819,"1 Grange House Gardens, Burntisland","Road/Street","Antony was found later inside a closet at 1 Grange House Gardens, Burntisland by staff","Disorientation Location"
2305,"53 Newton Crescent, Rosyth","Road/Street","Antony was last seen near an alleyway at 53 Newton Crescent, Rosyth, known to frequent due to an unknown medical condition","Disorientation Location"
2305,"1 Grange House Gardens, Burntisland","Road/Street","It's believed his condition led to confusion, causing him to seek a secluded space until he was traced","Disorientation Location"
24282,"West Green, Crail","Residence","His son, Daniel Marshall, and brother, Carl Webb, were concerned when Antony didn't return home","Family-Related Location"
24282,"Burntisland","Road/Street","Police later traced him to Burntisland, where he seemed disoriented but unharmed","Disorientation Location"
26502,"Park on walking route","Park","Concerns were raised after he failed to return home, and his sister, worried due to his medical condition, notified authorities","Disorientation Location"
26502,"Burntisland","Road/Street","It took several days of searching before he was finally located by staff in Burntisland, a considerable distance away, leading to relief for his family and friends","Disorientation Location"
51890,"Kinghorn Road, Burntisland","Road/Street","His sister, Marilyn, reported him missing after he failed to attend a mental health-related appointment","Mental Health Location"
51890,"Burntisland","Road/Street","He was later found by police","Disorientation Location"
102063,"Alleyway near home","Alleyway","Antony was found in an alleyway, confused due to an unknown medical condition","Disorientation Location"
102063,"Closet","Closet","He sought shelter in a closet, needing help","Disorientation Location"
102064,"Alleyway near family-related home","Alleyway","Antony, known to his friend Iain, was found wandering in an alleyway near his family-related home","Disorientation Location"
102064,"Closet","Closet","He seemed disoriented and sought refuge in a closet","Disorientation Location"
102065,"Unknown","Unknown","Antony missing, unknown condition","Unknown"
102066,"Unknown","Unknown","nan","Unknown"
102067,"Unknown","Unknown","Antony has an unknown medical condition; Amy and Kelly Mason are aware and monitoring him","Unknown"
102068,"Alleyway near family-related property","Alleyway","Antony, who has dementia, was found disoriented outside a family-related property","Disorientation Location"
102068,"Closet","Closet","A concerned passerby informed Mohamed Howard, who discovered Antony hiding in an alleyway near a closet, after he wandered off earlier","Disorientation Location"
102069,"Unknown","Unknown","nan","Unknown"
102070,"Alleyway","Alleyway","Antony was found in an alleyway feeling disoriented","Disorientation Location"
102070,"Closet","Closet","Mohamed Howard is helping him seek mental health-related support","Disorientation Location"
102071,"Unknown","Unknown","nan","Unknown"
102072,"Unknown","Unknown","Antony's brother reports an unknown medical condition","Unknown"
102073,"Unknown","Unknown","nan","Unknown"
102074,"Alleyway","Alleyway","Antony was found confused in the alleyway","Disorientation Location"
102074,"Closet","Closet","Unknown","Disorientation Location"
102075,"Unknown","Unknown","Antony, 81, with dementia, went missing from a mental health clinic","Unknown"
102075,"Alleyway","Alleyway","He was last seen in an alleyway, possibly heading toward a family-related location","Disorientation Location"
102075,"Closet","Closet","Lawrence is concerned","Disorientation Location"
