1240,"Edward Street footbridge, Kilsyth","Bridge/Elevated Structure","Phoned family saying she was high above water, found sitting wrong side of bridge barriers, fell 20-25 feet","Impulsive/Crisis Location"
86560,"Desert-like patch of land near 37-39 York Place, Perth","Desert/Area","Concern arose when her brother, Ashley Turnbull, realized she had not collected her medication, an important routine for managing her chronic illness","Isolation Seeking"
80285,"312 Greengairs Road, Greengairs","Residence/Home","Jayne White, experiencing stress due to chronic illness, was last seen at her home on Greengairs Road","Familiar Location"
80285,"Morningside Road","Unknown/Area","Her brother reported her missing","Isolation Seeking"
14568,"312 Greengairs Road, Greengairs","Residence/Home","Jayne White, an 81-year-old woman with a known chronic illness, was last seen at her home at 312 Greengairs Road, Greengairs","Familiar Location"
14568,"37-39 York Place, Perth","Volunteer Shelter","Her brother noted that she did not collect her prescribed medication, raising concerns among her family, especially given her history of chronic illness stress","Familiar Location"
67734,"312 Greengairs Road, Greengairs","Residence/Home","Jayne White was last seen at her home, 312 Greengairs Road, Greengairs","Familiar Location"
67734,"25 Harbour Road, Inverness","Unknown/Area","Friend Pauline Saunders discovered her missing","Isolation Seeking"
4926,"312 Greengairs Road, Greengairs","Residence/Home","Jayne White, an 81-year-old with known health concerns, was reported missing from her home at 312 Greengairs Road, Greengairs","Familiar Location"
4926,"Home","Residence/Home","Known for her routine visits to the bingo hall, she failed to return home as expected on a Sunday afternoon","Familiar Location"
59329,"312 Greengairs Road, Greengairs","Residence/Home","Jayne White was reported missing from 312 Greengairs Road, Greengairs, following a period of heightened stress due to her chronic illness","Familiar Location"
59329,"Intersection of York Place, Perth","Unknown/Area","Known to occasionally visit shelters and seek solitude in forested areas, Jayne failed to collect her essential medication, raising alarm among friends and family","Isolation Seeking"
54165,"Bingo hall","Bingo Hall/Area","Jayne White was last seen leaving a bingo hall","Familiar Location"
54165,"Forest","Forest/Area","Her friend reported she had chronic illness stress and did not collect medication before heading into a nearby forest","Isolation Seeking"
4372,"312 Greengairs Road, Greengairs","Residence/Home","Jayne White, 82, was reported missing from her home at 312 Greengairs Road, Greengairs","Familiar Location"
4372,"37-39 York Place, Perth","Volunteer Shelter","Known for her punctual medication routines, she failed to collect her necessary prescriptions, raising concerns","Familiar Location"
4372,"40 Woodhall Road, Edinburgh","Unknown/Area","Jayne was eventually traced by the police at 40 Woodhall Road, Edinburgh, indicating she had traveled despite the adverse weather conditions","Isolation Seeking"
82602,"312 Greengairs Road","Residence/Home","MP was last seen near 312 Greengairs Road","Familiar Location"
82602,"Safe house in a foreign country","Shelter/Area","Chronic illness stress led MP to use an alias at a safe house amid foul weather","Isolation Seeking"
64697,"312 Greengairs Road, Greengairs","Residence/Home","Jayne White was last seen at her home, 312 Greengairs Road, Greengairs, where she resided alone despite her chronic illness which caused ongoing stress","Familiar Location"
64697,"52a Sinclair Street, Helensburgh","Unknown/Area","Known for occasionally using aliases, Jayne's family was accustomed to her impulsive getaways, yet remained deeply concerned","Isolation Seeking"
87249,"312 Greengairs Road, Greengairs","Residence/Home","Jayne White, a retiree with specific health needs, failed to collect her medication and was last seen at home, 312 Greengairs Road, Greengairs","Familiar Location"
87249,"Forest","Forest/Area","Known to visit forests, she was never traced abroad, raising concerns","Isolation Seeking"
33054,"Bingo hall","Bingo Hall/Area","Jayne White, known for using aliases, went missing from her home on Greengairs Road","Familiar Location"
33054,"Mental health safe house in the desert area","Shelter/Area","She was last sighted at a nearby bingo hall with Mitchell Mills, a colleague","Isolation Seeking"
47137,"312 Greengairs Road, Greengairs","Residence/Home","Jayne White was last seen at her home on Greengairs Road","Familiar Location"
47137,"Morningside Road","Unknown/Area","Jayne, who had been experiencing increased stress related to her chronic illness, failed to collect her necessary medication","Isolation Seeking"
48605,"312 Greengairs Road, Greengairs","Residence/Home","Jayne White, who was living with her sister Kirsty, vanished from her home at 312 Greengairs Road, Greengairs","Familiar Location"
48605,"Home","Residence/Home","Known for experiencing chronic illness stress and having used aliases in the past, it was suspected she might have traveled to a foreign country","Familiar Location"
6854,"Shelter near 312 Greengairs Road","Shelter/Area","Jayne White, last seen at a shelter near 312 Greengairs Road, was supposed to meet her friend, Leon Dixon, but failed to show up after not collecting her medication","Familiar Location"
6854,"Sinclair Street","Unknown/Area","This led to a search involving sister and colleague Abbie Richardson","Isolation Seeking"
84983,"312 Greengairs Road, Greengairs","Residence/Home","Jayne White, an 85-year-old with notable health challenges, was reported missing from her home on Greengairs Road","Familiar Location"
84983,"Fairview Road, Edinburgh","Unknown/Area","She had been feeling overwhelmed, possibly due to chronic illness stress and had not collected her regular medication","Isolation Seeking"
37371,"312 Greengairs Road, Greengairs","Residence/Home","Jayne White, with a known chronic illness stress, was reported missing from her home at 312 Greengairs Road","Familiar Location"
37371,"Desert region","Desert/Area","Partners including colleague Abbie Richardson noted foul weather while she traveled towards the desert region","Isolation Seeking"
