Unnamed: 0,VPD_NOMINALINCIDENTID_PK,VPD_CONSENTNAME,VPD_NOCONSENTREASON,VPD_CREATEDON,VPD_LASTUPDATEDON,VPD_NOMINALSYNOPSIS,VPD_GPCONSENT,VPD_VPTYPEID_FK,VPD_INCIDENTID_FK,VPD_WELLBEINGCOMMENTS,VPD_NOTINFORMEDREASON,VPD_NOGPCONSENTREASON,VPD_SCRA,VPD_THREEPOINTTEST,VPD_YOUTHATTITUDE,VPD_PARENTATTITUDE,VPD_NOMINALSVIEW,VPD_CHILDPROTECTION,VPD_RECORD_START_DATE,VPD_FORENAME,VPD_SURNAME,VPD_MAIDEN_NAME,VPD_CREATEDON_1,VPD_PLACEOFBIRTH,VPD_PERSONLANGUAGE,VPD_INTERPRETERREQID_FK,VPD_DISABILITY,VPD_DISABILITYDESC,VPD_PERSONETHNICAPPEARANCE,VPD_PERSONGENDER,VPD_KNOWNAS,VPD_REPEATVICTIM,VPD_REPEATPERPETRATOR,misper_misperid,entities_landmarks,entities_addresses,entities_location_types,entities_people_names,entities_people_desc,entities_people_relat,entities_pattern_types,vpd_serious_and_organised_crime_exploitation,vpd_stalking_and_harassment,vpd_suicide_concern,vpd_violence_used,vpd_weapon_used__acra_only_,vpd_bullying,vpd_child_at_locus,vpd_neglect,vpd_self_neglect,vpd_child_criminal_exploitation__cce_,vpd_child_sexual_exploitation__cse_,vpd_community_triage_service,vpd_distress_brief_intervention__dbi_,vpd_dsdas,vpd_child_victim,vpd_child_witnessed,vpd_female_genital_mutilation__fgm_,vpd_forced_marriage__fm_,vpd_gambling,vpd_honour_based_abuse__hba_,vpd_human_trafficking,vpd_looked_after_accommodated_child__laac_,vpd_missing_person,vpd_online_child_sexual_abuse_and_exploitation__ocsae_,vpd_pregnancy__unborn_baby_,vpd_sexual_harm,vpd_elderly,vpd_attempted_suicide,vpd_financial,vpd_sight_loss,vpd_physical_disability,vpd_psychological_harm,vpd_self_harm,vpd_isolation,vpd_hearing_loss,vpd_alcohol_consumption,vpd_learning_disability,vpd_communication_needs,vpd_mental_health_issues,vpd_drug_consumption,vpd_other,vpd_radicalisation
10,100011,Bethan Brown,No consent was given for information to be shared.,2017-05-11 22:50:08,2017-05-11 22:50:08,"Ellie, confused due to dementia, was found at a cemetery after leaving a nightclub with her son.",100,1,1000098,Ellie is vulnerable due to dementia and past victimization.,No consent was given for information to be shared.,No consent was given for information to be shared.,100,1,,,Ellie deemed unable to consent due to dementia and history.,,28-Nov-2022 14:48:11.000Z[UTC],Ellie,Brown,,2015-02-12 05:48:08,Birmingham,English,1,Yes (please specify),Dementia,White Scottish,Female,Sed,Y,N,4386,,,cemetery,,son,,,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
11,100012,Ellie Brown,,2017-07-02 01:24:08,2017-07-04 01:24:08,,4,1,1000169,Ellie is safe and receiving support for her dementia.,,,100,1,,,Ellie understands situation but struggles due to dementia.,,28-Nov-2022 14:48:11.000Z[UTC],Ellie,Brown,,2015-02-12 05:48:08,Birmingham,English,1,Yes (please specify),Dementia,White Scottish,Female,Sed,Y,N,4386,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
12,100013,Ellie Brown,,2017-09-30 17:36:08,2017-10-01 08:55:08,,4,1,1000196,Ellie is safe but struggles with dementia-related challenges.,,,100,2,,,Ellie understood consent but struggles with ongoing victimization.,,28-Nov-2022 14:48:11.000Z[UTC],Ellie,Brown,,2015-02-12 05:48:08,Birmingham,English,1,Yes (please specify),Dementia,White Scottish,Female,Sed,Y,N,4386,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
13,100014,Ellie Brown,,2018-01-09 13:00:08,2018-01-11 07:02:08,"Ellie wants to start anew, attending her grandchild's school events on An t-Sràid, with support from her brother.",100,1,1000198,Ellie shows signs of dementia and requires ongoing support.,,,100,1,,,"Ellie understood, consented to database input despite dementia.",,28-Nov-2022 14:48:11.000Z[UTC],Ellie,Brown,,2015-02-12 05:48:08,Birmingham,English,1,Yes (please specify),Dementia,White Scottish,Female,Sed,Y,N,4386,school events,An,,,brother,,interested in starting new life,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
14,100015,Bethan Brown,Unable to locate,2018-02-12 21:24:08,2018-02-13 02:58:08,,2,1,1000291,Ellie requires regular support due to dementia-related needs.,Unable to locate,Unable to locate,100,2,,,Ellie unable to understand situation or provide consent.,,28-Nov-2022 14:48:11.000Z[UTC],Ellie,Brown,,2015-02-12 05:48:08,Birmingham,English,1,Yes (please specify),Dementia,White Scottish,Female,Sed,Y,N,4386,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
15,100016,Ellie Brown,,2018-02-22 21:51:08,2018-02-23 04:13:08,"Ellie, 83, was found wandering in a cemetery. Due to her dementia, she appeared confused and disoriented. She's a repeated victim needing ongoing support.",1,1,1000295,Ellie requires ongoing support due to her dementia condition.,,,100,2,,,Ellie deemed unable to fully grasp the ongoing situation.,,28-Nov-2022 14:48:11.000Z[UTC],Ellie,Brown,,2015-02-12 05:48:08,Birmingham,English,1,Yes (please specify),Dementia,White Scottish,Female,Sed,Y,N,4386,,,cemetery,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
0,100017,Rosie O'Sullivan,,2020-12-26 14:22:10,2020-12-26 14:22:10,,100,1,650147,Rosie is thriving and actively engaging in community support programs.,,,100,2,,,"""Rosie consented to database entry and understands the situation.",,28-Nov-2022 14:48:11.000Z[UTC],Rosie,O'Sullivan,,2020-07-27 23:17:10,Wolverhampton,English,1,Not Known,,White Northern Irish,Female,DarkKhaki,N,N,1864,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,100018,Gavin O'Sullivan,,2021-03-30 04:17:10,2021-03-30 04:17:10,Rosie's vehicle was found abandoned near a snow area.,2,1,669788,Rosie is stable and managing her wellbeing effectively.,,,100,1,,,Rosie consented to database entry and understands the situation.,,28-Nov-2022 14:48:11.000Z[UTC],Rosie,O'Sullivan,,2020-07-27 23:17:10,Wolverhampton,English,1,Not Known,,White Northern Irish,Female,DarkKhaki,N,N,1864,,,snow area,,,,vehicle found abandoned,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,100019,Rosie O'Sullivan,,2021-06-06 18:29:10,2021-06-06 18:29:10,"Rosie, possibly involved in a cult, was seen at an amusement park with her colleague and brother.",2,1,988564,"Rosie is safe and well, with no history of victimization.",,,100,1,,,Rosie understood and consented to sharing her information.,,28-Nov-2022 14:48:11.000Z[UTC],Rosie,O'Sullivan,,2020-07-27 23:17:10,Wolverhampton,English,1,Not Known,,White Northern Irish,Female,DarkKhaki,N,N,1864,,,amusement park,,"colleague,brother",,possibly involved in cult,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,100020,Rosie O'Sullivan,,2021-08-10 22:21:10,2021-08-10 22:21:10,,2,1,990554,Rosie is currently safe and receiving support as needed.,,,100,2,,,Rosie understood and consented to database information entry.,,28-Nov-2022 14:48:11.000Z[UTC],Rosie,O'Sullivan,,2020-07-27 23:17:10,Wolverhampton,English,1,Not Known,,White Northern Irish,Female,DarkKhaki,N,N,1864,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,100021,Janice O'Sullivan,No consent was given for information to be shared.,2021-10-02 21:28:10,2021-10-03 15:26:10,,100,1,996821,Rosie is currently stable and not in immediate danger.,No consent was given for information to be shared.,No consent was given for information to be shared.,100,2,,,Rosie did not consent to sharing her information.,,28-Nov-2022 14:48:11.000Z[UTC],Rosie,O'Sullivan,,2020-07-27 23:17:10,Wolverhampton,English,1,Not Known,,White Northern Irish,Female,DarkKhaki,N,N,1864,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,100022,Rosie O'Sullivan,,2022-02-11 14:37:10,2022-02-11 23:28:10,Rosie's sister reports that Rosie is safe now and receiving much-needed support as she has been victimized repeatedly in the past.,4,1,997263,Rosie is safe and receiving support for her experiences.,,,100,2,,,Rosie aware of situation and consents to database entry.,,28-Nov-2022 14:48:11.000Z[UTC],Rosie,O'Sullivan,,2020-07-27 23:17:10,Wolverhampton,English,1,Not Known,,White Northern Irish,Female,DarkKhaki,Y,N,1864,,,,,sister,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,100023,Rosie O'Sullivan,,2022-07-31 23:47:10,2022-08-02 23:47:10,,2,1,997635,Rosie is receiving support and services for her wellbeing.,,,100,1,,,Rosie understands her situation and consents to database entry.,,28-Nov-2022 14:48:11.000Z[UTC],Rosie,O'Sullivan,,2020-07-27 23:17:10,Wolverhampton,English,1,Not Known,,White Northern Irish,Female,DarkKhaki,Y,N,1864,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,100024,Rosie O'Sullivan,,2022-12-14 14:55:10,2022-12-16 14:55:10,,100,1,998212,Rosie is receiving ongoing support for her safety and wellbeing.,,,100,1,,,Rosie understands and agrees to database entry for safety.,,28-Nov-2022 14:48:11.000Z[UTC],Rosie,O'Sullivan,,2020-07-27 23:17:10,Wolverhampton,English,1,Not Known,,White Northern Irish,Female,DarkKhaki,Y,N,1864,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,100025,Annette O'Sullivan,,2023-01-16 20:15:10,2023-01-18 06:36:10,Rosie was last seen at an escalator near a snow area after speaking with Joanne O'Sullivan. She is a repeated victim and efforts are underway to locate her.,1,1,998746,Rosie is receiving support and feels safe at this time.,,,100,1,,,Rosie agrees to input and seeks ongoing support.,,28-Nov-2022 14:48:11.000Z[UTC],Rosie,O'Sullivan,,2020-07-27 23:17:10,Wolverhampton,English,1,Not Known,,White Northern Irish,Female,DarkKhaki,Y,N,1864,,,"escalator,snow area",Joanne,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,100026,Janice O'Sullivan,No consent was given for information to be shared.,2023-01-25 18:51:10,2023-01-27 18:51:10,"Rosie was distressed at an amusement park and escalator, encountered by sister, Max Barker.",100,1,999304,Rosie is safe and receiving support after past victimization.,No consent was given for information to be shared.,No consent was given for information to be shared.,100,1,,,Rosie distressed by data sharing without her consent.,,28-Nov-2022 14:48:11.000Z[UTC],Rosie,O'Sullivan,,2020-07-27 23:17:10,Wolverhampton,English,1,Not Known,,White Northern Irish,Female,DarkKhaki,Y,N,1864,,,"amusement park,escalator",Max Barker,sister,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,100027,Lawrence Davis,,2023-03-02 09:40:10,2023-03-02 09:40:10,"Rosie, possibly in a cult, was last seen by a colleague near the campground cave.",100,1,999321,Rosie is currently safe and receiving support for her wellbeing.,,,100,2,,,Rosie consented to database entry for ongoing support.,,28-Nov-2022 14:48:11.000Z[UTC],Rosie,O'Sullivan,,2020-07-27 23:17:10,Wolverhampton,English,1,Not Known,,White Northern Irish,Female,DarkKhaki,Y,N,1864,,,"campground,cave",,colleague,,possibly involved in cult,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,100028,Maria Sutton,Would not engage with police,2020-11-04 00:36:28,2020-11-05 00:02:28,,100,1,604024,Antony is currently avoiding police involvement and support services.,Would not engage with police,Would not engage with police,100,1,,,"Antony uncooperative, chose not to engage with police.",,28-Nov-2022 14:48:11.000Z[UTC],Antony,Begum,,2020-09-16 17:13:28,Newry,English,1,Not Known,,White Romani,Male,,N,N,5433,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,100029,Antony Begum,,2021-02-17 18:06:28,2021-02-17 18:06:28,,100,1,644548,Antony is in a stable environment and has given consent.,,,100,2,,,Antony consented to database input and understands the situation.,,28-Nov-2022 14:48:11.000Z[UTC],Antony,Begum,,2020-09-16 17:13:28,Newry,English,1,Not Known,,White Romani,Male,,N,N,5433,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,100030,Joe Bennett,Would not engage with police,2021-04-02 17:00:28,2021-04-02 17:00:28,,100,1,725652,Antony has declined police engagement and is currently unmonitored.,Would not engage with police,Would not engage with police,100,1,,,Antony unwilling to engage; consent for database not given.,,28-Nov-2022 14:48:11.000Z[UTC],Antony,Begum,,2020-09-16 17:13:28,Newry,English,1,Not Known,,White Romani,Male,,N,N,5433,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,100031,Ann Short,No consent was given for information to be shared.,2014-02-12 18:21:42,2014-02-12 18:21:42,"Lewis, aged 79, was found disoriented near the community park. Despite a stable condition, he struggles with dementia and requires consistent care. No consent for data sharing was obtained, highlighting the need for vigilant attention to his wellbeing.",2,1,183501,Lewis is currently stable but requires ongoing care for dementia.,No consent was given for information to be shared.,No consent was given for information to be shared.,100,2,,,Lewis lacks capacity to consent for information sharing.,,28-Nov-2022 14:48:11.000Z[UTC],Lewis,Birch,,2014-01-13 20:43:42,Chichester,Spanish,1,Yes (please specify),Dementia,Asian Pakistani,Male,,N,N,8542,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
1,100032,Katy Jarvis,Would not engage with police,2014-04-10 22:03:42,2014-04-10 22:03:42,"Lewis, 79, with dementia, often gets lost at home and wanders to the nearby petting zoo. His sister, Marian Birch, expressed concerns about his safety and vulnerability in public spaces.",4,1,652011,Lewis requires ongoing support due to dementia and previous victimization.,Would not engage with police,Would not engage with police,100,1,,,[Lewis] unable to comprehend situation due to dementia.,,28-Nov-2022 14:48:11.000Z[UTC],Lewis,Birch,,2014-01-13 20:43:42,Chichester,Spanish,1,Yes (please specify),Dementia,Asian Pakistani,Male,,Y,N,8542,,,"home,petting zoo",,sister,Marian Birch,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
2,100033,Ann Short,Would not engage with police,2014-07-26 12:54:42,2014-07-26 12:54:42,,1,1,662603,Lewis experiences cognitive challenges and requires careful support.,Would not engage with police,Would not engage with police,100,2,,,"Lewis unable to engage, does not consent to information sharing.",,28-Nov-2022 14:48:11.000Z[UTC],Lewis,Birch,,2014-01-13 20:43:42,Chichester,Spanish,1,Yes (please specify),Dementia,Asian Pakistani,Male,,Y,N,8542,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0
3,100034,Lewis Birch,,2014-10-03 08:20:42,2014-10-03 08:20:42,,1,1,866262,Lewis resides safely in a supportive environment for dementia.,,,100,1,,,Lewis acknowledged situation but struggles to fully comprehend details.,,28-Nov-2022 14:48:11.000Z[UTC],Lewis,Birch,,2014-01-13 20:43:42,Chichester,Spanish,1,Yes (please specify),Dementia,Asian Pakistani,Male,,Y,N,8542,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4,100035,Chelsea Birch,Unable to locate,2015-01-26 06:12:42,2015-01-26 06:12:42,"Lewis, aged 79 with dementia, wandered from the resort into a nearby petting zoo, raising safety concerns. He has been a repeated victim in similar situations.",1,1,987381,Lewis is receiving support for his dementia and safety concerns.,Unable to locate,Unable to locate,100,1,,,[Lewis] unable to provide consent due to cognitive impairment.,,28-Nov-2022 14:48:11.000Z[UTC],Lewis,Birch,,2014-01-13 20:43:42,Chichester,Spanish,1,Yes (please specify),Dementia,Asian Pakistani,Male,,Y,N,8542,,,"petting zoo,resort",,,,,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
5,100036,Lewis Birch,,2015-03-09 01:52:42,2015-03-09 01:52:42,"Recently released from prison, Lewis was spotted at a petting zoo with Rhys Allen, far from home.",1,1,993369,Lewis is receiving proper care and support for his condition.,,,100,1,,,Lewis understands situation but struggles to recall details.,,28-Nov-2022 14:48:11.000Z[UTC],Lewis,Birch,,2014-01-13 20:43:42,Chichester,Spanish,1,Yes (please specify),Dementia,Asian Pakistani,Male,,Y,N,8542,Home,,"petting zoo,home",Rhys Allen,,,recently released from prison,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
