16809,"Wood Place, Rosyth","Highway/Street","Concern arose when friend Josephine Hamilton could not reach him","Disorientation"
25566,"Dove Street, Cellardyke","Home/Residence","Eventually, authorities traced him to 3 Dove Street, Cellardyke, after a tip from his colleague, Josephine Hamilton, who noticed changes in his behavior","Disorientation"
93065,"Backmarch Crescent, Rosyth","Home/Residence","Billy Foster was last seen leaving his residence at 38 Backmarch Crescent in Rosyth","Disorientation"
93065,"Dick Place, Rosyth","Home/Residence","His neighbor reported seeing Billy walking toward Dunnikier Park, Kirkcaldy","Disorientation"
93065,"Oxcars Avenue, Burntisland","Home/Residence","The police and Billy's colleague worked together to locate him. After tracing his steps, Billy was eventually found safe at 16 Oxcars Avenue, Burntisland, unharmed","Disorientation"
28960,"Kirkbank Road, Burntisland","Home/Residence","Billy Foster, a resident of Rosyth, was last seen leaving his neighbor's house at 66 Kirkbank Road, Burntisland, in the middle of the night","Disorientation"
28960,"Carnegie Avenue, Dunfermline","Highway/Street","Known for seeking solitude, he had been struggling with mental health issues which were noted to have escalated in recent weeks","Disorientation"
28960,"Oxcars Avenue, Burntisland","Home/Residence","Through diligent efforts, the police traced him to 16 Oxcars Avenue, Burntisland, where he was found safe but disoriented","Disorientation"
72167,"Findlay Street, Rosyth","Home/Residence","Billy Foster, with known mental health issues, vanished after visiting a colleague at 43 Findlay Street, Rosyth","Disorientation"
72167,"Anstruther","Home/Residence","His grandmother, Gillian Jones, noted he was a possible witness to a crime before he disappeared","Disorientation"
6258,"Calum Macdonald Court, Rosyth","Home/Residence","Billy Foster, an 89-year-old retired gentleman from Rosyth, was reported missing by his friend after not being seen since leaving his house on Backmarch Crescent","Disorientation"
6258,"Newton Crescent, Rosyth","Home/Residence","A search was initiated, with police locating him at 53 Newton Crescent","Disorientation"
38613,"Backmarch Crescent, Rosyth","Home/Residence","Billy Foster was last seen leaving his home at 38 Backmarch Crescent, Rosyth, under unclear circumstances","Disorientation"
38613,"Burntisland Road, Kinghorn","Highway/Street","Concern arose when Billy failed to return or make contact, prompting searches along major routes, including the nearby highway","Disorientation"
38613,"Dunnikier Park, Kirkcaldy","Highway/Street","The search included thorough sweeps of surrounding areas, including Dunnikier Park, Kirkcaldy, KY1 3LP, though no immediate clues were found","Disorientation"
38613,"Castle Street, Crail","Home/Residence","After several days, police discovered him safe at an acquaintance's house in Crail, indicating he may have become disoriented while en route","Disorientation"
1563,"Selvage Place, Rosyth","Library/Community Center","Billy Foster, known to frequent the library on 30 Selvage Place, Rosyth, had been experiencing significant mental health issues in recent months leading up to his disappearance","Disorientation"
1563,"Castle Street, Crail","Home/Residence","His sister, Samantha Foster, reported him missing after he failed to return home","Disorientation"
1563,"Oxcars Avenue, Burntisland","Home/Residence","The police traced him to 16 Oxcars Avenue in Burntisland","Disorientation"
53569,"Backmarch Crescent, Rosyth","Home/Residence","Billy Foster, a 90-year-old man with a history of mental health issues, was last seen at his home on Backmarch Crescent, Rosyth","Disorientation"
53569,"Oxcars Avenue, Burntisland","Home/Residence","After several days, Billy was found by a member of the public at Newton Crescent, Rosyth, appearing disoriented but safe","Disorientation"
64514,"Backmarch Crescent, Rosyth","Home/Residence","Billy Foster was last seen leaving his residence at 38 Backmarch Crescent, Rosyth, in the middle of the night","Disorientation"
64514,"Newton Crescent, Rosyth","Home/Residence","Following a comprehensive search involving the local community, he was finally traced by staff at 53 Newton Crescent, Rosyth","Disorientation"
98617,"Dick Place, Rosyth","Home/Residence","Billy Foster, a 91-year-old male, was reported missing from his home at 38 Backmarch Crescent, Rosyth","Disorientation"
98617,"Dove Street, Cellardyke","Highway/Street","It was believed that his disappearance might be linked to a possible witnessing of a crime","Disorientation"
98617,"Bowling Green Place, Crail","Home/Residence","Authorities considered him at high risk due to his age and disability","Disorientation"
735,"Burntisland Road, Kinghorn","Highway/Street","Billy Foster, a 91-year-old resident of an assisted living facility in Dunfermline, mysteriously went missing, causing immediate concern due to his existing disability","Disorientation"
735,"Oxcars Avenue, Burntisland","Home/Residence","A search ensued, wherein another colleague pointed authorities towards 16 Oxcars Avenue, Burntisland","Disorientation"
735,"Park Road West, Rosyth","Home/Residence","After several days of extensive search efforts, Billy was eventually traced to 137 Park Road West, Rosyth, by local police, found in good health and safe","Disorientation"
4219,"Backmarch Crescent, Rosyth","Home/Residence","Billy Foster was last seen at his residence in Rosyth late in the evening","Disorientation"
4219,"Highway","Highway/Street","With growing concerns over his recent fear of deportation, those close to him believe this anxiety contributed to his sudden departure","Disorientation"
4219,"Crail","Home/Residence","A friend, recognizing his heightened stress levels, alerted authorities when Billy failed to meet for a scheduled outing","Disorientation"
69794,"Backmarch Crescent, Rosyth","Home/Residence","Billy Foster, known as MP, was last seen by his sister leaving his residence at 38 Backmarch Crescent, Rosyth","Disorientation"
69794,"Burntisland Road, Kinghorn","Highway/Street","Nearby residents on Burntisland Road, Kinghorn reported seeing a gentleman matching MP’s description heading north, seemingly disoriented","Disorientation"
69794,"King's Crescent, Rosyth","Home/Residence","Working with the police, Bradley Howell, a former colleague, noted that MP might attempt to visit places tied to old memories, such as 71 King's Crescent, Rosyth","Disorientation"
69794,"King's Road, Rosyth","Home/Residence","MP was eventually found by authorities at 57 King's Road","Disorientation"
63843,"Backmarch Crescent, Rosyth","Home/Residence","Billy Foster, a 92-year-old gentleman, was last seen at his residence on Backmarch Crescent","Disorientation"
63843,"Kirkbank Road, Burntisland","Home/Residence","Concern deepened when his grandfather, Luke White, mentioned Billy often visited a neighbor's house in Burntisland","Disorientation"
63843,"Bowling Green Place, Crail","Home/Residence","Fortunately, after extensive searching, Billy was traced by police at a friend's at 8 Bowling Green Place, Crail","Disorientation"
74162,"Backmarch Crescent, Rosyth","Home/Residence","Billy Foster, a 92-year-old gentleman, was last seen leaving his home on Backmarch Crescent, Rosyth","Disorientation"
74162,"King's Crescent, Rosyth","Home/Residence","He has a known tendency to seek solitude, often visiting his neighbor’s house at 71 King's Crescent, to enjoy the quiet atmosphere","Disorientation"
74162,"Newton Crescent, Rosyth","Home/Residence","A member of the public eventually traced him to Newton Crescent, where he was found hiding, still visibly shaken","Disorientation"
26766,"Fidra Avenue, Burntisland","Home/Residence","MP went missing after leaving 1 Fidra Avenue, Burntisland","Disorientation"
26766,"St Margaret's Head, North Queensferry","Highway/Street","Last seen near St Margaret's Head highway headed towards a neighbor’s house","Disorientation"
68849,"Backmarch Crescent, Rosyth","Home/Residence","Billy Foster, a 92-year-old facing mental health issues, was last seen leaving his home at 38 Backmarch Crescent, Rosyth, late in the night","Disorientation"
68849,"Oxcars Avenue, Burntisland","Home/Residence","After a thorough search, Billy was eventually traced by the police and located safely at 57 King's Road, Rosyth, a few days later","Disorientation"
15855,"Neighbor's house, Rosyth","Home/Residence","Billy Foster was last seen leaving his neighbor's house during a particularly foul weather incident","Disorientation"
15855,"Highway","Highway/Street","Known for his dedication to volunteer work, Billy had informed his sister of his intent to drop off some donations in the area","Disorientation"
15855,"Address nearby","Home/Residence","Fortunately, the police traced Billy to an address nearby, where he had sought shelter from the storm, safe and unharmed","Disorientation"
55580,"Backmarch Crescent, Rosyth","Home/Residence","Billy Foster was last seen leaving his residence at 38 Backmarch Crescent, Rosyth, in the middle of the night","Disorientation"
55580,"Dollar Grove, Burntisland","Highway/Street","A tip from a local driver suggested seeing an elderly man matching Billy's description walking along the highway near 7 Dollar Grove, Burntisland","Disorientation"
55580,"Park Road West, Rosyth","Home/Residence","After four days of extensive search efforts, Billy was successfully traced and found safe at 137 Park Road West, Rosyth","Disorientation"
10992,"Backmarch Crescent, Rosyth","Home/Residence","Billy Foster, known to attend regular meetings at the local book club and synagogue, was reported missing from his home on Backmarch Crescent","Disorientation"
10992,"Charles Logan Place","Home/Residence","After being reported missing, Billy was eventually found by police at Charles Logan Place","Disorientation"
50115,"Dick Place, Rosyth","Home/Residence","Billy Foster, seeking solitude, left in the middle of the night during foul weather","Disorientation"
50115,"Highway","Highway/Street","Sister last saw him near 1 Dick Place, Rosyth","Disorientation"
10074,"Dollar Grove, Burntisland","Pharmacy/Community Center","Billy Foster was last seen in Burntisland, leaving a pharmacy at 7 Dollar Grove","Disorientation"
10074,"West Green, Crail","Home/Residence","He was eventually traced to 8 Bowling Green Place, Crail after a chance encounter with a local who recognized him from missing person notices","Disorientation"
23509,"Bingo hall, Rosyth","Bingo Hall/Community Center","Billy Foster was last seen at a bingo hall close to his residence","Disorientation"
23509,"Carnegie Avenue, Dunfermline","Highway/Street","Colleagues had noticed Billy seemed a bit disoriented, but assumed he was headed back to his senior housing at 1 Dick Place, Rosyth","Disorientation"
23509,"Camdean Lane, Rosyth","Home/Residence","Fortunately, a local acquaintance spotted him near 8 Camdean Lane, Rosyth, and alerted authorities","Disorientation"
23509,"Charles Logan Place, Rosyth","Home/Residence","Billy was finally traced by his family at 13 Charles Logan Place, Rosyth","Disorientation"
77878,"Milne Gardens, Rosyth","Retirement Community/Assisted Living","Billy was last seen by his neighbor at the retirement community near 15 Milne Gardens","Disorientation"
46903,"Backmarch Crescent, Rosyth","Home/Residence","Billy Foster, a retired secretary living at 38 Backmarch Crescent, Rosyth, was reported missing after failing to return home","Disorientation"
46903,"Findlay Street, Rosyth","Home/Residence","On the day of his disappearance, Billy was last seen near a neighbor's house, which he occasionally visited for brief conversations","Disorientation"
46903,"Nethergate South, Crail","Home/Residence","Extensive searches, focusing on local highways leading to his old routes towards Anstruther, were conducted","Disorientation"
76294,"Alexander Place, Rosyth","Home/Residence","Billy Foster was reported missing from his home on Backmarch Crescent, Rosyth","Disorientation"
76294,"St Margaret's Head, North Queensferry","Highway/Street","His sister checked St Margaret's Head, North Queensferry, hoping to find him","Disorientation"
76294,"King's Road, Rosyth","Home/Residence","After a thorough search, Billy was eventually traced by police on King's Road, safe but disoriented","Disorientation"
