3443,"South Groathill Avenue, Edinburgh","Residential Area","She had been staying with a friend, unaware of the concern her unplanned absence caused.","Impulsive/Isolation Seeking"
94884,"90 Haymarket Terrace, Edinburgh","Residential Area","She was reported missing following a court appearance.","Isolation Seeking"
94884,"1 Kings Court, Dunbar","Illegal Site","Her sister and son expressed concern over her sudden disappearance, which was unusual.","Impulsive/Crisis Location"
33162,"5 Drysdale Road, Edinburgh","Residential Area","Compounded by her previous involvement in activities around an illegal site at 1a Beech Grove, Livingston, her family, including her concerned aunt, suspected she might have been avoiding initial legal obligations.","Impulsive/Crisis Location"
33162,"1a Beech Grove, Livingston","Illegal Site","Compounded by her previous involvement in activities around an illegal site at 1a Beech Grove, Livingston, her family, including her concerned aunt, suspected she might have been avoiding initial legal obligations.","Impulsive/Crisis Location"
33162,"East Mains, Ormiston","City/Urban Area","After several days of intense searching by local authorities, she was located in East Mains, Ormiston, safe but reluctant to disclose her reasons for the disappearance.","Unknown"
91128,"Houston Mains, Livingston","Illegal Site","She had been investigating a report of suspicious geological activity at the site, which is known for its precarious conditions and unofficial status.","Impulsive/Crisis Location"
91128,"The Cross, EH49 7AH","Religious Site","Her family, including her uncle and Joe Roberts, grew concerned when she failed to return home.","Isolation Seeking"
91128,"Dunbar","City/Urban Area","Police tracked her mobile signal to the illegal site. They discovered evidence suggesting Michelle experienced difficulties due to the risky terrain.","Unknown"
74538,"26 Parkgrove Avenue, Edinburgh","Residential Area","Initially low risk, her disappearance raised concerns when a colleague mentioned that Michelle had planned to visit John Jones, an acquaintance living at 11 Woodhall Bank, Edinburgh.","Isolation Seeking"
74538,"11 Woodhall Bank, Edinburgh","Residential Area","This was due to her last known interactions suggesting she might have been at a different location.","Isolation Seeking"
74538,"3 Renaissance View","Unknown","Her uncle recalled a conversation implying she was believed to be in another city, perhaps at 3 Renaissance View, pursuing a leisurely interest.","Isolation Seeking"
74538,"60-84 Rose Street, Edinburgh","City/Urban Area","Days of uncertainty followed, but Michelle was eventually traced to 60-84 Rose Street, Edinburgh.","Unknown"
14073,"Garden Place, Livingston","Residential Area","She was scheduled to meet her colleague at Garden Place, Livingston but never arrived.","Isolation Seeking"
14073,"Friend's place near her regular restaurant","Residential Area","She was later traced to a friend's place near her regular restaurant.","Unknown"
25589,"5 New Street, Edinburgh","Truck Stop","She had met with a friend from her running group before leaving for a brief stop at the gym.","Isolation Seeking"
25589,"32 Glenorchy Road, EH39 4QE","Residential Area","Her vehicle was found abandoned near 32 Glenorchy Road, EH39 4QE, leading to heightened concern for her safety.","Unknown"
25589,"1 Kings Court, Dunbar","Illegal Site","Michelle was eventually traced to 1 Kings Court, Dunbar, where her family found her safe.","Impulsive/Crisis Location"
74447,"12 York Road, EH39 4LX","Wilderness Area","She had plans to go hiking alone, something her aunt often worried about due to the remote nature of the trails.","Impulsive/Crisis Location"
74447,"East Mains, Ormiston","City/Urban Area","Police traced Michelle four days later at East Mains, Ormiston, having managed to find her way back after getting disoriented in the dense woods.","Unknown"
33108,"6 Market Street, Edinburgh","City/Urban Area","After the court session, she was last seen by her sister, Gail Johnson, who mentioned that Michelle seemed distressed about the legal proceedings.","Isolation Seeking"
33108,"1G Bank Street","Residential Area","After four days of intense searching, Michelle was located in a stable condition at 1G Bank Street, which is close to 3 West End Place, EH39 4AJ.","Unknown"
33108,"3 West End Place, EH39 4AJ","Residential Area","After four days of intense searching, Michelle was located in a stable condition at 1G Bank Street, which is close to 3 West End Place, EH39 4AJ.","Unknown"
56141,"26 Parkgrove Avenue, Edinburgh","Residential Area","She was scheduled to meet her colleague at Garden Place, Livingston but never arrived.","Isolation Seeking"
56141,"6 Lidgate Shot, Ratho","Residential Area","Police investigations revealed no signs of a struggle at her residence nor indication of her whereabouts at 6 Lidgate Shot, Ratho, despite efforts to track her.","Unknown"
56141,"Rose Street","City/Urban Area","Two days later, Michelle was found safe at a cafe on Rose Street by police officers, claiming she had intentionally taken time alone to clear her mind, having not informed anyone of her planned absence.","Unknown"
57117,"79 Lauriston Place, Edinburgh","Residential Area","She had plans to meet her colleague for a wilderness hike near The Cross, EH49 7AH.","Impulsive/Crisis Location"
57117,"1G Bank Street","Residential Area","Her daughter raised concerns when she didn't arrive at her destination. Police later traced her to 1G Bank Street.","Unknown"
42180,"Court appearance related to a personal dispute","City/Urban Area","Soon after, reports suggested she might be in another city, leading to growing concerns about her whereabouts.","Isolation Seeking"
42180,"Wilderness areas near 1a Beech Grove, Livingston","Wilderness Area","Police investigations pointed to the wilderness areas near 1a Beech Grove, Livingston, as a probable location for her refuge.","Impulsive/Crisis Location"
42180,"Dean Road, Bo'ness","City/Urban Area","With possible sightings around Dean Road, Bo'ness, EH51 0DH, authorities and family members, including her son Jamie Wood, launched coordinated efforts to locate her.","Unknown"
42148,"2 Cramond Glebe Road, Edinburgh","Residential Area","It’s believed she might have relocated to another city.","Isolation Seeking"
42148,"Illegal site connected to 2 Cramond Glebe Road, Edinburgh","Illegal Site","It’s believed she might have relocated to another city.","Impulsive/Crisis Location"
15493,"26 Parkgrove Avenue, Edinburgh","Residential Area","Before going missing, she had a conversation with her grandfather who noticed she seemed unusually anxious.","Isolation Seeking"
15493,"Religious site","Religious Site","MP is believed to have intended to visit a religious site but her plans took a different turn.","Impulsive/Crisis Location"
15493,"Central Edinburgh","City/Urban Area","Her family initiated a search, and she was eventually located by them at an address in central Edinburgh.","Unknown"
15339,"40 Maritime Street, Edinburgh","Residential Area","Friends believe she went to another city.","Isolation Seeking"
64155,"Grocery store near 40 Maritime Street, Edinburgh","Residential Area","Last seen at a grocery store, believed in another city.","Isolation Seeking"
100533,"Local religious site","Religious Site","A friend mentioned she was last seen near a local religious site and potentially headed into the wilderness or an illegal site.","Impulsive/Crisis Location"
100533,"Wilderness or illegal site","Wilderness Area/Illegal Site","A friend mentioned she was last seen near a local religious site and potentially headed into the wilderness or an illegal site.","Impulsive/Crisis Location"
100536,"Illegal site","Illegal Site","Michelle found at illegal site.","Impulsive/Crisis Location"
100537,"Truck stop","Truck Stop","Michelle was found distressed at a truck stop after departing from her grandfather, seeking immediate assistance.","Unknown"
